[2023-01-08 02:59:49.1322955 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTSYSMON TRACE.etl due to UnauthorizedAccessException...
[2023-01-08 02:59:49.1322955 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTSysmonDnsEtwSession.etl due to UnauthorizedAccessException...
[2023-01-08 02:59:49.1322955 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUAL_Kernelmode_Provider.etl due to UnauthorizedAccessException...
[2023-01-08 02:59:49.1322955 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUAL_Usermode_Provider.etl due to UnauthorizedAccessException...
[2023-01-08 02:59:49.1322955 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl due to UnauthorizedAccessException...
[2023-01-08 02:59:49.1322955 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTWFP-IPsec Diagnostics.etl due to UnauthorizedAccessException...
[2023-01-08 02:59:49.1791701 | INF]   Deferring C:\Windows\AppCompat\Programs\Amcache.hve due to IOException...
[2023-01-08 02:59:49.1791701 | INF]   Deferring C:\Windows\AppCompat\Programs\Amcache.hve.LOG1 due to IOException...
[2023-01-08 02:59:49.1791701 | INF]   Deferring C:\Windows\AppCompat\Programs\Amcache.hve.LOG2 due to IOException...
[2023-01-08 02:59:49.1791701 | INF]   Deferring C:\$MFT due to UnauthorizedAccessException...
[2023-01-08 02:59:49.1791701 | INF]   Deferring C:\$LogFile due to UnauthorizedAccessException...
[2023-01-08 02:59:49.1947948 | INF]   Deferring C:\$Extend\$UsnJrnl:$J due to NotSupportedException...
[2023-01-08 02:59:49.1947948 | INF]   Deferring C:\$Extend\$UsnJrnl:$Max due to NotSupportedException...
[2023-01-08 02:59:49.1947948 | INF]   Deferring C:\$Secure:$SDS due to NotSupportedException...
[2023-01-08 02:59:49.1947948 | INF]   Deferring C:\$Boot due to UnauthorizedAccessException...
[2023-01-08 02:59:49.1947948 | INF]   Deferring C:\$Extend\$RmMetadata\$TxfLog\$Tops:$T due to NotSupportedException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SAM.LOG1 due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SAM.LOG2 due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SECURITY.LOG1 due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SECURITY.LOG2 due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SOFTWARE.LOG1 due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SOFTWARE.LOG2 due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SYSTEM.LOG1 due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SYSTEM.LOG2 due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SAM due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SECURITY due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SOFTWARE due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\SYSTEM due to IOException...
[2023-01-08 02:59:49.2416687 | INF]   Deferring C:\Windows\System32\config\RegBack\SAM due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Windows\System32\config\RegBack\SECURITY due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Windows\System32\config\RegBack\SOFTWARE due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Windows\System32\config\RegBack\SYSTEM due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG1 due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG2 due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1 due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2 due to IOException...
[2023-01-08 02:59:49.2572945 | INF]   Deferring C:\Users\Administrator\NTUSER.DAT due to IOException...
[2023-01-08 02:59:49.2729191 | INF]   Deferring C:\Users\Administrator\ntuser.dat.LOG1 due to IOException...
[2023-01-08 02:59:49.2729191 | INF]   Deferring C:\Users\Administrator\ntuser.dat.LOG2 due to IOException...
